timestamp,aruco_id,x_base,y_base,z_base
541.758,9,0.29535,0.08611,0.24508
542.375,1,0.38966,0.04733,0.25265
542.876,0,0.37979,0.09568,0.26175
543.392,9,0.29375,0.08624,0.24345
543.963,9,0.29375,0.08622,0.24345
544.466,0,0.37979,0.09569,0.26175
544.982,9,0.29375,0.08625,0.24345
545.53,9,0.29375,0.08621,0.24344
546.045,9,0.29603,0.08671,0.24204
546.616,9,0.29602,0.08671,0.24204
547.123,2,0.39846,-0.00252,0.24469
547.663,9,0.29603,0.08672,0.24204
548.164,1,0.38948,0.04728,0.25264
548.709,9,0.29548,0.08617,0.24378
549.239,9,0.29548,0.08617,0.24378
549.763,9,0.29549,0.0862,0.24379
550.267,9,0.29548,0.08618,0.24378
550.781,9,0.29548,0.08618,0.24378
551.288,9,0.29548,0.08617,0.24378
551.818,9,0.29548,0.08616,0.24378
552.353,9,0.29587,0.0866,0.24253
552.876,9,0.29587,0.08657,0.24253
553.386,9,0.29587,0.08658,0.24253
553.888,8,0.34048,-0.00996,0.2323
554.39,9,0.29537,0.08621,0.24367
554.964,9,0.29537,0.08618,0.24366
555.523,9,0.29482,0.08567,0.24542
556.041,9,0.29535,0.08586,0.24372
556.558,9,0.29535,0.08589,0.24373
557.081,9,0.29575,0.08601,0.2425
557.593,9,0.29512,0.08599,0.24422
558.105,9,0.29303,0.08565,0.24469
558.607,0,0.37813,0.09086,0.26378
559.132,11,0.31255,-0.01914,0.21379
559.667,10,0.30143,0.0314,0.22796
560.212,9,0.29285,0.0796,0.2375
563.632,9,0.29481,0.07125,0.23477
564.158,10,0.30224,0.0257,0.22652
564.677,11,0.31151,-0.01988,0.21582
565.178,9,0.29546,0.0818,0.24521
565.688,9,0.29615,0.08338,0.2401
566.252,9,0.29634,0.08889,0.23597
566.792,9,0.29247,0.09078,0.23986
567.326,9,0.29478,0.09121,0.23664
567.861,9,0.2939,0.09132,0.23919
568.382,9,0.29443,0.09399,0.23754
568.919,9,0.29781,0.09661,0.23467
569.426,9,0.30632,0.10173,0.23452
569.984,9,0.31531,0.10749,0.23278
570.515,9,0.31753,0.10725,0.23528
571.073,10,0.32462,0.06105,0.23256
571.579,10,0.32676,0.05875,0.22745
572.134,11,0.33948,0.00671,0.2083
572.661,10,0.33307,0.06011,0.22159
573.196,11,0.34036,0.0057,0.20493
573.714,11,0.34012,0.01106,0.20009
574.246,10,0.3264,0.07999,0.20831
574.757,10,0.3239,0.08196,0.20083
575.259,7,0.35235,0.08471,0.2056
575.819,7,0.35089,0.08648,0.20403
